OBJECTID,STATION_ID,ASSET_ID,NAME,LONGNAME,LINES,BRANCH_ID,STATUS,MILEPOST,FAREZONE,ADA,ADA2,PKNRD,BIKEPKNG,TICKET_AVA,ADDRESS,MUNICIPALI,TELEPHONE,WEBLINK,LABELANGLE,EDIT_INIT,EDIT_DATE,YEAR_OPEN,X,Y,xcoord,ycoord
177,13631.00000,51213631.00000,Harvard,Harvard,UP-NW,13,1,63.10000,M,0,A,1,0,,1. N. Ayers Street,Harvard,,,180,ks,1995/08/02,,907622,2095537,-88.61712,42.41935
178,15064.00000,51215064.00000,Healy,Healy,Milw-N,15,1,6.40000,B,0,A,1,0,,4014 W. Fullerton Ave.,Chicago,,,180,ks,1995/08/02,,,,-87.72791,41.92486
179,15082.00000,51215082.00000,Grayland,Grayland,Milw-N,15,1,8.20000,B,1,N,1,0,,3805 N. Kilbourn St.,Chicago,,,180,ks,1995/08/02,,,,-87.74012,41.94852
180,15090.00000,51215090.00000,Mayfair,Mayfair,Milw-N,15,1,9.00000,B,1,N,0,0,,4357 N. Cicero,Chicago,,,180,ks,1995/08/02,,,,-87.74617,41.96014
181,15102.00000,51215102.00000,Forest Glen,Forest Glen,Milw-N,15,1,10.20000,C,1,N,1,0,,5301 N. LeClaire,Chicago,,,0,ks,1995/08/02,,,,-87.75616,41.97954
182,15116.00000,51215116.00000,Edgebrook,Edgebrook,Milw-N,15,1,11.60000,C,2,M,1,0,,6402 N. Central,Chicago,,,0,ks,1995/08/02,,,,-87.76562,41.99763
183,15143.00000,51215143.00000,Morton Grove,Morton Grove,Milw-N,15,1,14.30000,C,0,A,1,0,,8501 Lehigh Rd.,Morton Grove,,,0,ks,1995/08/02,,,,-87.78497,42.03505
184,15162.00000,51215162.00000,Golf,Golf,Milw-N,15,1,16.20000,D,0,A,1,20,,195 N. Waukegan,Golf,,,0,ks,1995/08/02,,,,-87.79715,42.05833
185,15174.00000,51215174.00000,Glenview,Glenview,Milw-N,15,1,17.40000,D,0,A,1,56,,1021 Depot Ave.,Glenview,,,0,ks,1995/08/02,,,,-87.80557,42.07462
186,15188.00000,51215188.00000,North Glenview,North Glenview,Milw-N,15,1,18.80000,D,0,A,1,0,,3000 Old Willow Rd.,Glenview,,,0,aef,2001/04/17,,,,-87.81627,42.09884
187,15211.00000,51215211.00000,Northbrook,Northbrook,Milw-N,15,1,21.10000,E,2,M,1,47,,1340 Shermer Ave.,Northbrook,,,0,ks,1995/08/02,,,,-87.82814,42.12763
188,15230.00000,51215230.00000,Lake Cook,Lake Cook Road,Milw-N,15,1,23.00000,E,0,M,1,0,,601 Lake Cook Road,Deerfield,,,0,ks,1999/02/16,,,,-87.84099,42.15165
